Target,ClusPro,HADDOCK3,LightDock
1LP1,0.585,0.415,0.034
3MZW,0.013,0.012,0.016
5DJT,0.635,0.024,0.086
5DJU,0.489,0.016,0.214
5EFW,0.532,0.031,0.088
